14   ,M0038,-0.301177,100.366101,
15   ,M0011,-0.307221,100.364984,
A001 ,M0033,-0.305057,100.368095,
15   ,M0038,-0.301177,100.366101,
16   ,M0011,-0.307221,100.364984,
16   ,M0028,-0.296956,100.368019,
16   ,M0038,-0.301177,100.366101,
17   ,M0004,-0.290109,100.379641,
A002 ,M0015,-0.314708,100.386438,
17   ,M0044,-0.292209,100.383466,
A002 ,M0016,-0.311935,100.374633,
19   ,M0011,-0.307221,100.364984,
19   ,M0016,-0.311935,100.374633,
19   ,M0038,-0.301177,100.366101,
A001 ,M0016,-0.311935,100.374633,
C006 ,M0038,-0.301177,100.366101,
A002 ,M0033,-0.305057,100.368095,
A003 ,M0016,-0.311935,100.374633,
A003 ,M0033,-0.305057,100.368095,
C001 ,M0033,-0.305057,100.368095,
C001 ,M0038,-0.301177,100.366101,
D002 ,M0043,-0.290898,100.384342,
C006 ,M0033,-0.305057,100.368095,
D003 ,M0033,-0.305057,100.368095,
17   ,M0025,-0.296951,100.386337,
A001 ,M0001,-0.30330470298,100.37643102717,Turun disini
A004 ,M0001,-0.30330470298,100.37643102717,Turun disini
B003 ,M0001,-0.30330470298,100.37643102717,Turun disini
D002 ,M0001,-0.30330470298,100.37643102717,Turun disini
18   ,M0005,-0.29829951019,100.38030461747,Turun disini
A004 ,M0005,-0.29829951019,100.38030461747,Turun disini
19   ,M0002,-0.32121754953,100.38533359098,
16   ,M0003,-0.28701475558,100.36580687075,
D002 ,M0004,-0.28989834092,100.37986837228,
14   ,M0006,-0.31828410594,100.37611585106,
D003 ,M0006,-0.31828410594,100.37611585106,
15   ,M0006,-0.31828410594,100.37611585106,
19   ,M0006,-0.31828410594,100.37611585106,
C006 ,M0006,-0.31828410594,100.37611585106,
B003 ,M0007,-0.29714643558,100.37450793515,
C001 ,M0007,-0.29714643558,100.37450793515,
18   ,M0007,-0.29714643558,100.37450793515,
16   ,M0008,-0.29273116213,100.36508829898,
C006 ,M0009,-0.28777579409,100.36850962567,
17   ,M0009,-0.28777579409,100.36850962567,
17   ,M0010,-0.29124016906,100.37514477587,
D002 ,M0010,-0.29124016906,100.37514477587,Turun Disini
B003 ,M0010,-0.29130722342,100.37490069485,Turun Disini
A001 ,M0012,-0.30299291106,100.36842527575,
14   ,M0014,-0.31130426963,100.37222524214,Turun Disini
C001 ,M0012,-0.30299291106,100.36842527575,
C006 ,M0012,-0.30299291106,100.36842527575,
A003 ,M0012,-0.30299291106,100.36842527575,
